1st Quartile / Median / 3rd Quartile per op/bench
-----------------------------------------
benchop    mata           mata-sim
overa/bi   60, 60, 60     60, 60, 60
overa/biu  0.1, 0.6, 1.8  1.2, 60, 60
overa/ef   0.0, 0.1, 0.1  0.0, 0.1, 0.1
overa/p    0.0, 0.1, 0.1  0.0, 0.1, 0.1
overa/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0
overa/znc  0.0, 0.0, 0.1  0.1, 1.7, 24.7
parsi/ai   0.1, 0.3, 0.4  0.1, 0.2, 0.4
parsi/bcd  0.1, 0.3, 0.4  0.1, 0.3, 0.5
parsi/bci  0.2, 0.4, 60   0.2, 0.4, 60
parsi/bcu  0.1, 0.2, 0.3  0.1, 0.2, 0.3
parsi/bi   0.4, 60, 60    0.0, 0.2, 0.4
parsi/biu  0.0, 0.2, 0.4  0.0, 0.2, 0.4
parsi/ef   0.0, 0.0, 0.1  0.0, 0.0, 0.1
parsi/p    0.0, 0.1, 0.1  0.0, 0.1, 0.1
parsi/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0
parsi/znc  0.0, 0.0, 0.0  0.0, 0.0, 0.0
reduc/ai   -              0.0, 0.3, 0.5
reduc/bcd  -              0.1, 0.3, 1.0
reduc/bci  -              0.1, 0.4, 60
reduc/bcu  -              0.0, 0.1, 0.3
reduc/bi   -              6.8, 20.9, 37.2
reduc/biu  -              1.1, 47.5, 53.2
reduc/ef   -              0.0, 0.0, 0.0
reduc/p    -              0.0, 0.0, 0.0
reduc/zn   -              0.0, 0.0, 0.0
reduc/znc  -              0.1, 1.6, 19.4
resul/ai   60, 60, 60     60, 60, 60
resul/bcd  60, 60, 60     60, 60, 60
resul/bci  60, 60, 60     60, 60, 60
resul/bcu  60, 60, 60     60, 60, 60
resul/bi   60, 60, 60     60, 60, 60
resul/biu  60, 60, 60     60, 60, 60
resul/ef   60, 60, 60     60, 60, 60
resul/p    60, 60, 60     60, 60, 60
resul/zn   60, 60, 60     60, 60, 60
resul/znc  60, 60, 60     60, 60, 60
runti/ai   0.1, 0.5, 0.6  0.1, 0.7, 1.1
runti/bcd  0.7, 31.6, 60  0.7, 31.1, 60
runti/bci  0.7, 31.6, 60  0.6, 31.2, 60
runti/bcu  0.1, 0.2, 0.3  0.1, 0.4, 0.6
runti/bi   60, 60, 60     60, 60, 60
runti/biu  0.1, 0.5, 1.7  1.2, 60, 60
runti/ef   0.0, 0.1, 0.1  0.0, 0.1, 0.1
runti/p    0.0, 0.1, 0.1  0.0, 0.1, 0.1
runti/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0
runti/znc  0.0, 0.0, 0.1  0.1, 1.6, 24.2
trim/bcd   0.0, 0.2, 0.3  0.0, 0.1, 0.2
trim/bci   0.1, 0.2, 0.3  0.0, 0.1, 0.2
trim/bcu   0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/bi    10.2, 60, 60   0.0, 0.1, 0.2
trim/biu   0.0, 0.0, 0.2  0.0, 0.0, 0.0
trim/ef    0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/p     0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/zn    0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/znc   0.0, 0.0, 0.0  0.0, 0.0, 0.0
union/bcu  0.0, 0.0, 0.0  0.0, 0.0, 0.0
union/biu  0.0, 0.0, 0.1  0.0, 0.0, 0.0
