name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-brics-runtime;java-brics-construction;java-brics-interall;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;TO; 0.119271; 0.043289;36.731735;12.618354;MISSING;MISSING;MISSING;TO;0.153645;0.048552;0.01643;30.083415;18.848929;MISSING;MISSING;MISSING;TO; 0.131943; 0.039667;0.002464;25.7572;26.021476;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.167757977;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.202634; 0.067595;9.380318;20.415987;8.643177;MISSING;MISSING;MISSING;TO;0.0627872;2.401944;43.098910000000004;MISSING;MISSING;MISSING;MISSING;TO;0.080131466;0.28773308000000003;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-22-*.mata;TO; 0.207266; 0.068857;39.323238;15.502501;MISSING;MISSING;MISSING;TO;0.18837;0.059407;0.016318;29.655503;18.178051;MISSING;MISSING;MISSING;TO; 0.19142; 0.054483;0.0026439999999999996;27.884500000000003;28.187604;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.111434733;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.138964; 0.048081;9.983979;21.918874;8.907204;MISSING;MISSING;MISSING;TO;0.04332739999999999;2.1821567;42.4113087;MISSING;MISSING;MISSING;MISSING;TO;0.095686839;0.41525995;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-23-*.mata;TO; 0.221424; 0.070215;41.13604;7.628242999999999;MISSING;MISSING;MISSING;TO;0.194437;0.067847;0.020482;31.907933;19.111538;MISSING;MISSING;MISSING;TO; 0.211678; 0.062605;0.0028960000000000006;14.695935;29.950029;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.08776932;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.105675; 0.039186;8.605277000000001;43.153108;7.078006;MISSING;MISSING;MISSING;TO;0.06848930000000003;2.3264053000000002;45.231426400000004;MISSING;MISSING;MISSING;MISSING;TO;0.106524607;0.607679444;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-24-*.mata;TO; 0.243077; 0.075383;41.494077000000004;8.030768;MISSING;MISSING;MISSING;TO;0.237701;0.076694;0.021752;19.202204;22.023791;MISSING;MISSING;MISSING;TO; 0.131264; 0.043599;0.0017630000000000002;15.277663;30.551184;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.197206005;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.230068; 0.093769;11.654142;25.286685;10.235458999999999;MISSING;MISSING;MISSING;TO;0.08014879999999999;2.4009411000000003;50.1672297;MISSING;MISSING;MISSING;MISSING;TO;0.135144605;0.42989964599999986;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-25-*.mata;TO; 0.201974; 0.063976;46.102677;8.248459;MISSING;MISSING;MISSING;TO;0.260938;0.074145;0.02189;21.471434;23.162564;MISSING;MISSING;MISSING;TO; 0.247441; 0.076721;0.0035549999999999996;15.354427;30.11799;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.102099458;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.24914; 0.08889;12.000779999999999;27.006732999999997;10.005168000000001;MISSING;MISSING;MISSING;TO;0.060749500000000005;3.1093135;48.7884448;MISSING;MISSING;MISSING;MISSING;TO;0.162378965;0.6025977699999999;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-26-*.mata;TO; 0.188572; 0.054999;24.188796000000004;9.926318;MISSING;MISSING;MISSING;TO;0.297067;0.087503;0.026402;21.904760000000003;25.278068;MISSING;MISSING;MISSING;TO; 0.252134; 0.073392;0.003176;15.155052999999999;28.184799;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.10300333;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.292158; 0.111393;11.056076000000001;23.005571;9.005396999999999;MISSING;MISSING;MISSING;TO;0.0641644;1.5104387;55.8325775;MISSING;MISSING;MISSING;MISSING;TO;0.098012053;0.4070656329999999;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-27-*.mata;TO; 0.302478; 0.109001;23.879206;8.899064000000001;MISSING;MISSING;MISSING;TO;0.208974;0.076161;0.0246959999999999;20.836618;24.935464;MISSING;MISSING;MISSING;TO; 0.28674; 0.092298;0.004180999999999999;17.019081;34.726495;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.125221055;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.292064; 0.076173;12.571601000000001;30.156677000000002;11.630623;MISSING;MISSING;MISSING;TO;0.066629;1.7265351;56.226411999999996;MISSING;MISSING;MISSING;MISSING;TO;0.117285731;0.5431867149999999;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-28-*.mata;TO; 0.246039; 0.067316;25.803648;10.766841;MISSING;MISSING;MISSING;TO;0.297972;0.097226;0.02302;23.264454;25.597657;MISSING;MISSING;MISSING;TO; 0.349107; 0.09549;0.004047000000000001;19.779007999999997;36.873358999999994;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.1766230499999999;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.34489; 0.104946;13.411135;28.934507;11.715248;MISSING;MISSING;MISSING;TO;0.0502494;1.5106760000000001;31.9566689;MISSING;MISSING;MISSING;MISSING;TO;0.1062027439999999;0.46885609100000014;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-29-*.mata;TO; 0.313849; 0.120701;28.881328;11.759810000000002;MISSING;MISSING;MISSING;TO;0.357288;0.115131;0.033197;22.873903;24.820874;MISSING;MISSING;MISSING;TO; 0.33951; 0.10067;0.004805;21.221284;20.957706;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.1917599059999999;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.289521; 0.097837;12.211608;24.660497;9.886904000000001;MISSING;MISSING;MISSING;TO;0.0814858;2.3502888;31.7260394;MISSING;MISSING;MISSING;MISSING;TO;0.097348029;0.5151689720000001;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-3-*.mata;0.0; 0.002921; 0.006133;6.1000000000000005e-05;2.8e-05; 1e-06; true; 0.010404;0.0;0.002823;0.00593;0.000348;8.8e-05;6.7e-05; 2e-06; true; 0.010307;0.01; 0.002846; 0.005915;5.7e-05;0.000692;0.000624; 9.4e-05; true; 0.012133;1.04; 0.0071; 0.0002; 0.0025; 0.0002; 0.0000; True; 0.0028; 0.0103;1.16; 0.0121; 0.0009; 0.0013; 0.0009; 0.0010; True; 0.0024; 0.0157;0.96;0.013006447; 0.003386951; 2.068E-5; true; 0.009390442; 0.098531598;0.0; 0.002819; 0.005851;0.000246;3.9999999999999996e-05;2e-05; 1e-06; true; 0.010281;0.67;0.03685530000000001;0.008839799999999998;0.0140205; 0.0001925000; True; 0.0251546000; 0.1139242000;1.07;0.021847792;0.06619280799999999; 0.032604492; 0.001974798; true; 0.10708223; 0.200585166
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-30-*.mata;TO; 0.354367; 0.158742;30.970969999999998;11.728736999999999;MISSING;MISSING;MISSING;TO;0.367928;0.125473;0.0365979999999999;24.731853;27.554128;MISSING;MISSING;MISSING;TO; 0.409534; 0.170204;0.005032999999999999;20.886786999999998;34.884153;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.2102742569999999;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.283585; 0.071022;6.720427;33.890378;13.184417999999999;MISSING;MISSING;MISSING;TO;0.0845288;2.0774981;33.7106283;MISSING;MISSING;MISSING;MISSING;TO;0.214513913;0.6352848529999999;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-31-*.mata;TO; 0.403023; 0.144116;33.477865;10.599391;MISSING;MISSING;MISSING;TO;0.359877;0.109075;0.032444;24.983506;27.130024;MISSING;MISSING;MISSING;TO; 0.404292; 0.131325;0.0046949999999999995;22.734903000000003;21.533285;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.302391026;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.342946; 0.128372;7.767312;32.285478;12.478264;MISSING;MISSING;MISSING;TO;0.08775240000000002;2.1308378;31.4019753;MISSING;MISSING;MISSING;MISSING;TO;0.251460382;0.5077278120000001;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-32-*.mata;TO; 0.443314; 0.144414;32.638896;13.103470999999999;MISSING;MISSING;MISSING;TO;0.397787;0.125483;0.040003;23.862184;26.888993;MISSING;MISSING;MISSING;TO; 0.444662; 0.162803;0.005688;19.762832000000003;19.243071999999998;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.194351522;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.40674; 0.112146;7.253326;35.355431;13.385172;MISSING;MISSING;MISSING;TO;0.07490400000000004;1.7627454999999999;37.9399368;MISSING;MISSING;MISSING;MISSING;TO;0.1608819079999999;0.6133154019999998;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-33-*.mata;TO; 0.456584; 0.133172;35.013238;11.992920000000002;MISSING;MISSING;MISSING;TO;0.491328;0.144074;0.0425669999999999;28.375938;15.173991;MISSING;MISSING;MISSING;TO; 0.432459; 0.142153;0.005875999999999998;23.891592000000003;24.010272999999998;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.164165694;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.433532; 0.133672;7.357256;37.755809;5.708966;MISSING;MISSING;MISSING;TO;0.09734059999999999;1.7409758;36.2029548;MISSING;MISSING;MISSING;MISSING;TO;0.1648602779999999;0.652155741;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-34-*.mata;TO; 0.45055; 0.207023;38.222302;11.470982;MISSING;MISSING;MISSING;TO;0.359628;0.190432;0.028864;31.125311000000004;16.391911999999998;MISSING;MISSING;MISSING;TO; 0.435235; 0.158172;0.0053820000000000005;24.341359;22.096321000000003;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.1809854749999999;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.478366; 0.144991;7.765304;38.320409;5.58232;MISSING;MISSING;MISSING;TO;0.08476850000000001;2.4643406;36.7736031;MISSING;MISSING;MISSING;MISSING;TO;0.189329088;0.6693436120000001;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-35-*.mata;TO; 0.554299; 0.20053;35.460114000000004;12.293142;MISSING;MISSING;MISSING;TO;0.502173;0.157584;0.043267;32.193441;17.943865000000002;MISSING;MISSING;MISSING;TO; 0.301424; 0.107785;0.005428999999999999;24.928849;24.460009;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.187329018;MISSING;MISSING;MISSING;MISSING;MISSING;TO; 0.465014; 0.157215;7.267174;36.23482;11.934783;MISSING;MISSING;MISSING;TO;0.0984246;2.1648796;44.431672000000006;MISSING;MISSING;MISSING;MISSING;TO;0.173813966;0.7818426159999999;MISSING;MISSING;MISSING;MISSING;MISSING
