input                                                                                                                                                                                                                                                                                                                     	automata  	vata  	mata-old  	awali  	mona  	(j)alib  	fado  	(py)mata  	(py)alib  	brics  	mata  	  number
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-18-*.mata                                                                                                                                                                                                                                            	false     	false 	false     	false  	true  	false    	nan   	false     	nan       	false  	false 	       8
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-2-*.mata                                                                                                                                                                                                                                             	true      	true  	true      	true   	true  	false    	true  	true      	true      	false  	true  	       1
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-26-*.mata                                                                                                                                                                                                                                            	nan       	nan   	nan       	nan    	true  	nan      	nan   	nan       	nan       	false  	ERR   	      10
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-26-*.mata                                                                                                                                                                                                                                            	false     	false 	false     	false  	true  	nan      	nan   	false     	nan       	false  	false 	      62
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-27-*.mata                                                                                                                                                                                                                                            	nan       	nan   	ERR       	nan    	true  	nan      	nan   	nan       	nan       	false  	ERR   	      69
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-3-*.mata                                                                                                                                                                                                                                             	true      	true  	true      	true   	true  	false    	nan   	true      	nan       	false  	true  	       1
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-42-*.mata                                                                                                                                                                                                                                            	nan       	ERR   	nan       	nan    	true  	nan      	nan   	nan       	nan       	false  	ERR   	       3
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-53-*.mata                                                                                                                                                                                                                                            	false     	nan   	false     	false  	true  	nan      	nan   	false     	nan       	false  	false 	       8
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-60-*.mata                                                                                                                                                                                                                                            	nan       	nan   	ERR       	nan    	true  	nan      	nan   	nan       	nan       	false  	nan   	       2
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-8-*.mata                                                                                                                                                                                                                                             	nan       	nan   	ERR       	nan    	true  	false    	nan   	ERR       	nan       	false  	ERR   	       1
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-10-*.mata                                                                                                                                                                                                                                            	false     	false 	false     	false  	true  	nan      	false 	false     	nan       	false  	false 	      16
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata 	false     	false 	false     	false  	-     	true     	nan   	false     	false     	true   	false 	      16
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata 	false     	false 	false     	false  	-     	true     	false 	false     	false     	true   	false 	       6
/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata	false     	false 	false     	false  	-     	nan      	nan   	false     	nan       	true   	false 	       3
/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata	false     	false 	false     	false  	-     	nan      	nan   	false     	false     	true   	false 	       1
/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata	true      	true  	true      	true   	-     	false    	true  	true      	true      	false  	true  	       1
/home/experiments/nfa-bench/benchmarks/email_filter/aut9.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata 	false     	false 	false     	false  	-     	true     	true  	false     	false     	true   	false 	       1
/home/experiments/nfa-bench/benchmarks/presburger/complement/tptp/ARI572_1.mata                                                                                                                                                                                                                                           	false     	true  	true      	true   	-     	true     	true  	true      	true      	false  	true  	       4
